gift_id	name	description	mode	status	version	notes
purine_core_biosynthesis	PRPP to IMP	Encodes de novo assembly of IMP, the common purine branchpoint that supplies both adenylate and guanylate biosynthesis and supports nucleotide production without relying solely on purine salvage.	anabolic	curated	1	Atomic GIFT corresponding to the biologically bounded PRPP-to-IMP capability derived from KEGG M00048.
adenylate_biosynthesis	IMP to AMP	Encodes the adenylate-specific branch from IMP through adenylosuccinate to AMP, supplying the precursor of adenine nucleotides used in nucleic acids, energy transfer, and many cofactors.	anabolic	curated	1	Atomic branch derived from KEGG M00049; ends at AMP because shared nucleotide phosphorylation is intentionally excluded.
guanylate_biosynthesis	IMP to GMP	Encodes the guanylate-specific branch that oxidizes IMP to XMP and aminates XMP to GMP, supplying the precursor of guanine nucleotides used in nucleic acids and GTP-dependent cellular processes.	anabolic	curated	1	Atomic branch derived from KEGG M00050; ends at GMP because shared nucleotide phosphorylation is intentionally excluded.
pyrimidine_core_biosynthesis	Glutamine and PRPP to UMP	Encodes de novo assembly of UMP, the common precursor of uridine and cytidine nucleotides needed for RNA production, DNA precursor synthesis, and activated-sugar metabolism.	anabolic	curated	1	Atomic GIFT corresponding to KEGG M00051; alternative dihydroorotate oxidation chemistries are separate routes.
cytidylate_biosynthesis	UTP to CTP	Encodes CTP synthase-mediated amination of UTP to CTP, establishing cytidine nucleotide production for RNA synthesis and formation of activated intermediates in phospholipid and glycan biosynthesis.	anabolic	curated	1	Atomic cytidylate-forming capability derived from KEGG M00052; shared UMP/UDP phosphorylation and CTP/CDP interconversion are intentionally excluded.
serine_biosynthesis	3-phosphoglycerate to serine	Encodes de novo synthesis of L-serine from the glycolytic intermediate 3-phosphoglycerate, supplying the amino acid that also feeds glycine and both cysteine biosynthesis capabilities.	anabolic	curated	1	Boundaries of KEGG M00020 retained. The phosphoserine phosphatase step is kept required even though a fifth of serA/serC genomes carry no recognised phosphatase orthologue; the chemistry is required and the missing reaction is reported rather than silently scored away.
glycine_biosynthesis	Serine to glycine	Encodes serine hydroxymethyltransferase-mediated formation of glycine from L-serine, the dominant route to glycine and the main one-carbon donor reaction of the cell.	anabolic	curated	1	No KEGG module covers this capability. Threonine aldolase is deliberately excluded as a route because it would require L-threonine as an input anchor and adds only 133 KEGG genomes beyond those carrying glyA.
aspartate_semialdehyde_biosynthesis	Aspartate to aspartate 4-semialdehyde	Encodes activation and reduction of L-aspartate to L-aspartate 4-semialdehyde, the branchpoint metabolite shared by the lysine, diaminopimelate, threonine and methionine branches of the aspartate family.	anabolic	curated	1	Shared head of KEGG M00018 and M00017, cut out so that neither module duplicates it. Anchored at the semialdehyde so the lysine and diaminopimelate branch can attach without re-cutting this GIFT.
homoserine_biosynthesis	Aspartate 4-semialdehyde to homoserine	Encodes homoserine dehydrogenase-mediated reduction of L-aspartate 4-semialdehyde to L-homoserine, the step that commits aspartate carbon away from lysine and towards threonine and methionine.	anabolic	curated	1	Single-reaction GIFT shared by KEGG M00018 and M00017. It is not merged into the upstream GIFT because homoserine dehydrogenase is precisely where the lysine branch is left behind.
threonine_biosynthesis	Homoserine to threonine	Encodes phosphorylation of L-homoserine and its conversion to L-threonine, establishing threonine identity after the aspartate family branchpoint.	anabolic	curated	1	Tail of KEGG M00018; the aspartate-to-homoserine head is curated separately and composed through the homoserine anchor.
